VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2024-02-01 00:04:45,2024-02-01 00:19:58,1.0,4.39,1.0,N,68,236,1,20.5,1.0,0.5,1.28,0.0,1.0,26.78,2.5,0.0
2,2024-02-01 00:56:31,2024-02-01 01:10:53,1.0,7.71,1.0,N,48,243,1,31.0,1.0,0.5,9.0,0.0,1.0,45.0,2.5,0.0
2,2024-02-01 00:07:50,2024-02-01 00:43:12,2.0,28.69,2.0,N,132,261,2,70.0,0.0,0.5,0.0,6.94,1.0,82.69,2.5,1.75
1,2024-02-01 00:01:49,2024-02-01 00:10:47,1.0,1.1,1.0,N,161,163,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
1,2024-02-01 00:37:35,2024-02-01 00:51:15,1.0,2.6,1.0,N,246,79,2,15.6,3.5,0.5,0.0,0.0,1.0,20.6,2.5,0.0
1,2024-02-01 00:55:17,2024-02-01 01:01:53,1.0,0.8,1.0,N,79,4,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
2,2024-02-01 00:04:53,2024-02-01 00:17:07,1.0,2.76,1.0,N,249,163,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
2,2024-02-01 00:35:00,2024-02-01 00:43:37,1.0,2.51,1.0,N,163,151,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,2024-02-01 00:00:15,2024-02-01 00:05:07,1.0,1.37,1.0,N,246,48,2,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
2,2024-02-01 00:25:55,2024-02-01 00:31:52,1.0,1.59,1.0,N,107,233,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2024-02-01 00:34:58,2024-02-01 00:35:16,1.0,0.07,1.0,N,170,170,2,3.0,1.0,0.5,0.0,0.0,1.0,8.0,2.5,0.0
2,2024-02-01 00:06:18,2024-02-01 00:36:07,1.0,7.28,1.0,N,140,36,1,35.2,1.0,0.5,5.0,0.0,1.0,45.2,2.5,0.0
2,2024-02-01 00:15:29,2024-02-01 00:17:41,1.0,0.72,1.0,N,141,229,1,5.1,1.0,0.5,1.0,0.0,1.0,11.1,2.5,0.0
2,2024-02-01 00:03:06,2024-02-01 00:14:21,1.0,5.55,1.0,N,239,244,3,-23.3,-1.0,-0.5,0.0,0.0,-1.0,-28.3,-2.5,0.0
2,2024-02-01 00:03:06,2024-02-01 00:14:21,1.0,5.55,1.0,N,239,244,3,23.3,1.0,0.5,0.0,0.0,1.0,28.3,2.5,0.0
1,2024-02-01 00:27:11,2024-02-01 00:31:07,1.0,1.2,1.0,N,231,113,1,7.2,3.5,0.5,3.05,0.0,1.0,15.25,2.5,0.0
1,2024-02-01 00:58:03,2024-02-01 01:05:53,1.0,1.2,1.0,N,68,137,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
